dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,beta_AT_scaled,beta_obl_scaled,beta_ecc_scaled,beta_insol65N_scaled,delta_AICc,rank_AICc
strong_monsoon_start,Strong monsoon starts,base_climate_phase,LR04 + CO2 + pre phase,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,96,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-420.3881735639055,850.776347127811,850.7951323501029,881.1308775717501,95.99996036985752,0.4225469809054539,0.14999993807790238,-2.027924845295933,1.5310903855110325,-0.09165441115679669,0.10854467483015111,0.5681705291136214,0.5784459322937934,0.1887678570380957,10.815601516011776,3.18003392377064,,,,,0.0,1.0
strong_monsoon_start,Strong monsoon starts,base_plus_insol65N,Base + 65N insolation,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+insol65N_scaled,0.2,3200,96,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-419.65705397523004,851.3141079504601,851.3404154982209,887.739544483187,95.99998259440915,0.38075780264313003,0.14999997280376426,-2.044630798798009,1.7694920116531205,-0.03912387798046562,0.0892518467490503,0.3489842295393936,0.3602164413450893,0.25038072352593205,14.345758729467827,2.0553227317341545,,,,1.1187937209144931,0.5452831481179601,2.0
strong_monsoon_start,Strong monsoon starts,base_plus_obl,Base + obliquity,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+obl_scaled,0.2,3200,96,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-420.0179316554734,852.0358633109468,852.0621708587075,888.4612998436737,96.0000548017593,0.4384548564303877,0.1500000856277489,-2.0335308705562327,1.6564409627374566,-0.06948417084734392,0.09497764722039544,0.5808967885154382,0.5886100851829432,0.16206773714971748,9.285797333914394,3.2453401594083875,,0.35256796738555546,,,1.267038508604628,3.0
strong_monsoon_start,Strong monsoon starts,base_plus_AT,Base + AT,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled,0.2,3200,96,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-420.23815283907874,852.4763056781575,852.5026132259183,888.9017422108844,95.99998525605429,0.41221217633116713,0.14999997696258482,-2.0296558394383983,1.6237876484182288,-0.05311168728763046,0.09279885714368294,0.5571876782805826,0.5648625821515173,0.16503385086132513,9.455743131145397,3.0948058201169055,0.2867500323838651,,,,1.7074808758153495,4.0
strong_monsoon_start,Strong monsoon starts,base_plus_ecc,Base + eccentricity,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+ecc_scaled,0.2,3200,96,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-420.38495812836214,852.7699162567243,852.7962238044851,889.1953527894512,96.00000754508423,0.4252046521746361,0.1500000117891941,-2.027775666188313,1.5064406712558267,-0.09683258067844712,0.10987953617528042,0.5672670424824705,0.5778108773265728,0.19133044103871008,10.96242676389473,3.1759974949889695,,,-0.035797326380265865,,2.0010914543821627,5.0
strong_monsoon_start,Strong monsoon starts,all_without_obl,All extra except obliquity,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+ecc_scaled+insol65N_scaled,0.2,3200,96,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-419.2489654831022,854.4979309662044,854.5430578856655,903.065179676507,96.00002564005091,0.4361113590632989,0.15000004006257955,-2.049738621740411,1.8403739540223558,0.021370741364862233,0.06790704511047356,0.2829054834228215,0.2909413675061287,0.2355774973845564,13.497596348389271,1.7894042353016926,0.4609659453023414,,-0.19184791547201294,1.3442817415200299,3.7479255355625583,6.0
strong_monsoon_start,Strong monsoon starts,all_without_ecc,All extra except eccentricity,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+insol65N_scaled,0.2,3200,96,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-419.3381374886361,854.6762749772722,854.7214018967333,903.2435236875748,95.99999016316711,0.4273522846159859,0.14999998462994862,-2.047529236452725,1.9438513464258602,0.04227173385635832,0.06299198910532278,0.3126148947407514,0.3188982017905027,0.19883772055716456,11.392562195927177,1.892306401951512,0.43164819969164153,0.032449920386428244,,1.205951889615897,3.926269546630351,7.0
strong_monsoon_start,Strong monsoon starts,all_without_AT,All extra except AT,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+obl_scaled+ecc_scaled+insol65N_scaled,0.2,3200,96,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-419.5896703849458,855.1793407698916,855.2244676893527,903.7465894801942,96.0000447598683,0.3761753604092239,0.15000006993729423,-2.0475713960624438,1.6684928125857645,-0.05633393073821001,0.09635984776924493,0.27919511668781094,0.29535594364162104,0.33233367813157677,19.04131714699849,1.805273109034171,,-0.15297753023988397,-0.17422420303612415,1.4464999217004828,4.4293353392497465,8.0
strong_monsoon_start,Strong monsoon starts,all_without_insol65N,All extra except 65N insolation,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+ecc_scaled,0.2,3200,96,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-419.7009431777716,855.4018863555432,855.4470132750042,903.9691350658458,96.00009936241266,0.4460175094312697,0.15000015525376978,-2.036370994195042,1.8131149045819344,0.001417615717286342,0.06882677604893847,0.5643510415334003,0.5685325172592368,0.12135807361145498,6.953305427774339,3.117604861826515,0.4313832910737351,0.43586146522782004,-0.02207430852945096,,4.65188092490132,9.0
strong_monsoon_start,Strong monsoon starts,extended_all,Base + all extra forcings,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+ecc_scaled+insol65N_scaled,0.2,3200,96,9,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-419.24215935544737,856.4843187108947,856.5407450431832,911.1224735099851,96.0003307847691,0.43133042237440283,0.15000051685120172,-2.05072430481226,1.8249911246291945,0.018064807836496506,0.06992675113607133,0.2528005797289593,0.26229350665951295,0.26986086500923634,15.461888620778877,1.6897608555307715,0.45309575837325544,-0.08028550140856892,-0.21326619561650897,1.486582970746327,5.745612693080261,10.0
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,pre_phase_sin+pre_phase_cos,0.2,3200,96,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-425.92616338657433,857.8523267731487,857.8598361598821,876.0650450395121,95.99999778511496,0.2406546159567607,0.14999999653924212,-1.9642244358035632,,,0.19694683968119678,0.5026236631092725,0.5398320149618717,0.3734500638301478,21.397112516358668,2.9436903930252565,,,,,7.064703809779189,11.0
strong_monsoon_start,Strong monsoon starts,climate_lr04_co2,LR04 + CO2,lr04_scaled+co2_scaled,0.2,3200,96,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-427.94062038059724,861.8812407611945,861.8887501479279,880.093959027558,95.99999524059267,0.2737489805830851,0.14999999256342605,-1.94753962385276,1.3859174607388718,-0.003779333400578527,,,,,,,,,,,11.093617797825004,12.0
strong_monsoon_start,Strong monsoon starts,stationary,Stationary,none,0.2,3200,96,1,True,analytic stationary MLE,-432.62955814271913,867.2591162854383,867.2603670671768,873.3300223742261,96.0,0.15,0.14999999999999997,-1.8971199848858813,,,,,,,,,,,,,16.46523471707394,13.0
weak_monsoon_start,Weak monsoon starts,base_climate_phase,LR04 + CO2 + pre phase,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,94,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-412.5163226073468,835.0326452146936,835.0514304369855,865.3871756586327,94.0000139367425,0.4549803331440124,0.1468750217761602,-2.064601315565793,0.059854182853554136,-1.9714782343329036,-0.4078859321055787,-0.26008041018720024,0.4837486468950369,4.144758746822308,237.47718329285038,2.6313507139197903,,,,,0.0,1.0
weak_monsoon_start,Weak monsoon starts,base_plus_insol65N,Base + 65N insolation,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+insol65N_scaled,0.2,3200,94,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-412.10280286877787,836.2056057375557,836.2319132853165,872.6310422702827,93.99996620731014,0.4889931575301437,0.14687494719892208,-2.070713191451437,-0.12336739255593848,-2.1250605019794078,-0.4009801951398011,-0.09055927778264289,0.41107918907050844,4.49027062453626,257.2735556575,2.275405727228913,,,,-0.857636653055195,1.180482848331053,2.0
weak_monsoon_start,Weak monsoon starts,base_plus_AT,Base + AT,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled,0.2,3200,94,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-412.23189891996077,836.4637978399215,836.4901053876823,872.8892343726485,93.9999981713631,0.5033120813179862,0.14687499714275484,-2.0695151805987697,0.1593706470129964,-1.9681159121398313,-0.43279983184606036,-0.275396073024903,0.5129899526145867,4.145695946922118,237.53088090312875,2.7898278885234435,0.42315981242200335,,,,1.43867495069685,3.0
